"Transcript"	"miRNA"	"UTR_length"	"Site_range"	"Seed_range"	"Seed_kind"	"GU_pair"	"tA1"	"region12.17"	"region4.15"	"X2.8_range"	"X9.11_range"	"X12._range"	"Seed44_score"	"Seed47_score"	"Seed50_score"	"Ghybrid"	"Ghybrid_score"	"Gnucl"	"Gnucl_score"	"Gtotal"	"Gtotal_score"	"SiteAcc"	"SiteAcc_score"	"UpsAcc"	"UpsAcc_score"	"DwsAcc"	"DwsAcc_score"	"SeedAcc"	"SeedAcc_score"	"SiteBegin"	"SiteBegin_score"	"UpAU"	"UpAU_score"	"DwAU"	"DwAU_score"
"NM_024428"	"miR-103"	800	"221-242"	"237-242"	"offset-6mer"	0	0	0	0	"237-242"	"233-235"	"221-231"	0.7698	0.8559	0.7839	-20.6	0.8993	-0.735	3.0131	-2.981	1.2405	0.303	0.6729	0.235	0.298	0.392	0.7936	0.308	1.1212	0.27	0.4449	0.35	0.5213	0.467	0.2799
"NM_024428"	"miR-107"	800	"214-242"	"237-242"	"offset-6mer"	0	0	0	0	"237-242"	"233-235"	"214-231"	0.7698	0.8559	0.7839	-19.8	1.0825	-0.592	3.0131	11.674	0.6171	0.284	0.4081	0.209	0.298	0.392	0.7936	0.308	1.1212	0.26	0.4449	0.45	0.755	0.467	0.2799
"NM_024428"	"miR-124"	800	"91-131"	"126-131"	"6mer"	0	0	0	0	"126-131"	"106-123"	"91-105"	0.8925	0.8559	0.97	-17.5	1.712	-6.99	0.2657	0.100999999999999	0.6171	0.642	6.7379	0.723	4.4151	0.593	0.4523	0.39	2.0718	0.11	3.0627	0.75	4.7737	0.733	0
"NM_024428"	"miR-139-5p"	800	"3-20"	"13-19"	"8mer"	0	1	0	0	"13-19"	"0-0"	"3-5"	1.3675	0.8559	1.2094	-17.9	1.712	-2.17	1.2571	-5.634	0.7596	0.426	2.1711	0.63	2.3652	0.543	4.0219	0.453	3.5669	0	0.3974	0.5	1.4985	0.533	1.9396
"NM_024428"	"miR-19a"	800	"194-212"	"207-212"	"offset-6mer"	0	0	1	0	"207-212"	"205-206"	"194-204"	1.0426	1.1684	0.7839	-20.9	0.8993	-0.347	0.4056	-4.981	1.6515	0.22	0.2322	0.63	2.3652	0.204	1.0652	0.222	0.4169	0.24	0.4449	0.6	2.3545	0.333	2.251
"NM_024428"	"miR-19a"	800	"194-214"	"207-212"	"offset-6mer"	0	0	1	0	"207-212"	"205-206"	"194-204"	1.0426	1.1684	0.7839	-21.9	0.9612	-0.347	0.4056	-1.487	0.7285	0.199	0.1811	0.63	2.3652	0.299	0.9234	0.222	0.4169	0.24	0.4449	0.6	2.3545	0.367	0.7885
"NM_024428"	"miR-19b"	800	"194-212"	"207-212"	"offset-6mer"	0	0	1	0	"207-212"	"205-206"	"194-204"	1.0426	1.1684	0.7839	-20.9	0.8993	-0.347	0.4056	-4.981	1.6515	0.22	0.2322	0.63	2.3652	0.204	1.0652	0.222	0.4169	0.24	0.4449	0.6	2.3545	0.333	2.251
"NM_024428"	"miR-19b"	800	"194-214"	"207-212"	"offset-6mer"	0	0	1	0	"207-212"	"205-206"	"194-204"	1.0426	1.1684	0.7839	-21.9	0.9612	-0.347	0.4056	-1.487	0.7285	0.199	0.1811	0.63	2.3652	0.299	0.9234	0.222	0.4169	0.24	0.4449	0.6	2.3545	0.367	0.7885
"NM_024428"	"miR-21"	800	"69-92"	"87-92"	"offset-6mer"	0	0	0	0	"87-92"	"73-73"	"69-72"	0.7698	0.8559	0.7839	-12.7	1.0269	-4.789	0.7912	-9.721	1.3313	0.747	0	0.689	1.9557	0.909	0	0.806	1.6096	0.08	0.3974	0.55	2.0849	0.667	0
"NM_024428"	"miR-30a"	800	"153-159"	"154-159"	"offset-6mer"	0	0	0	0	"154-159"	"153-153"	"0-0"	0.7698	0.8559	0.7839	-10.1	1.0269	-0.043	0.4056	0.629	0.6171	0.233	0.2322	0.564	1.6395	0.373	0.7936	0.271	0.3159	0.19	3.0627	0.75	4.7737	0.567	3.944
